dataset,protocol,source_group,source_checkpoint,method,runner_alias,config,seed,machine,bbox_ap50,miou,r1_bbox_ap50,r10_bbox_ap50,r1_miou,r10_miou,actual_evals,expected_evals,status
cs-c,12 official corruptions once,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,123,Cronus,14.7512,27.6232,,,,,12,12,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,0,gpu1,21.6893,,18.5861,22.3884,,,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,42,Cronus,21.7100,,18.2393,22.7942,,,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,123,Cronus,21.7751,,17.8056,22.6863,,,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,0,gpu1,,29.1860,,,31.9209,27.2210,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,42,Cronus,,29.5061,,,32.3064,27.3934,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,123,Cronus,,29.5269,,,32.3050,27.4254,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,0,gpu1,18.4547,28.9584,16.8148,17.2645,30.6838,25.5628,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,42,Cronus,17.3593,29.0575,16.0689,16.2702,30.4244,26.1336,50,50,VALID
cs-c-lt,Fog->MotionBlur->Snow->Brightness->DefocusBlur x10,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,123,Cronus,17.5627,28.7326,16.2179,16.4037,30.5285,25.4163,50,50,VALID
